head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
ATM,gene_protein,A8K4H8,-0.021722663193941116,-0.0280984394514378,ACCEPT,ATM serine/threonine kinase,ATM interactor,[],False,False,False,False,,,
ATM,gene_protein,PR:000010855,-0.02695693075656891,-0.0280984394514378,ACCEPT,ATM serine/threonine kinase,myosin-Ia,[],False,False,False,False,,,
ATM,gene_gene,MYO1A,-0.009420095942914486,-0.071739344080056,ACCEPT,ATM serine/threonine kinase,myosin IA,[],False,False,False,False,,,
ATM,gene_cellularcomponent,GO:0005634,-0.001065577962435782,-0.0358198597771757,ACCEPT,ATM serine/threonine kinase,nucleus,['CellularComponent_Gene'],False,True,True,False,CellularComponent_Gene,,
ATM,gene_cellularcomponent,GO:0005730,-0.0012514077825471759,-0.0358198597771757,ACCEPT,ATM serine/threonine kinase,nucleolus,['CellularComponent_Gene'],False,True,True,False,CellularComponent_Gene,,
ATM,gene_pathway,R-HSA-2559582,-0.003105059266090393,-0.0346968297443117,ACCEPT,ATM serine/threonine kinase,Senescence-Associated Secretory Phenotype (SASP),[],False,False,False,False,,,
ATM,gene_pathway,R-MMU-2559582,-0.060819026082754135,-0.0346968297443117,REJECT,ATM serine/threonine kinase,Senescence-Associated Secretory Phenotype (SASP),[],False,False,False,False,,,
ATM,gene_pathway,R-HSA-3299685,-0.0032698854338377714,-0.0346968297443117,ACCEPT,ATM serine/threonine kinase,Detoxification of Reactive Oxygen Species,[],False,False,False,False,,,
ATM,gene_pathway,R-RNO-3299685,-0.07382184267044067,-0.0346968297443117,REJECT,ATM serine/threonine kinase,Detoxification of Reactive Oxygen Species,[],False,False,False,False,,,
ATM,gene_pathway,R-MMU-3299685,-0.08606177568435669,-0.0346968297443117,REJECT,ATM serine/threonine kinase,Detoxification of Reactive Oxygen Species,[],False,False,False,False,,,
ATM,gene_pathway,R-BTA-3299685,-0.10260405391454697,-0.0346968297443117,REJECT,ATM serine/threonine kinase,Detoxification of Reactive Oxygen Species,[],False,False,False,False,,,
ATM,gene_phenotype,HP:0025464,-0.036789316684007645,-0.0347684314162952,REJECT,ATM serine/threonine kinase,Increased reactive oxygen species production,[],False,False,False,False,,,
ATM,gene_phenotype,WBPhenotype:0002239,-0.01797795109450817,-0.0347684314162952,ACCEPT,ATM serine/threonine kinase,reduced levels of reactive oxygen species,[],False,False,False,False,,,
ATM,gene_phenotype,WBPhenotype:0002238,-0.020551180467009544,-0.0347684314162952,ACCEPT,ATM serine/threonine kinase,increased levels of reactive oxygen species,[],False,False,False,False,,,
ATM,gene_phenotype,reactive oxygen species metabolic process process quality abnormal,-0.03477391228079796,-0.0347684314162952,REJECT,ATM serine/threonine kinase,    reactive oxygen species metabolic process process quality abnormal  ,[],False,False,False,False,,,
ATM,gene_phenotype,ZP:0143151,-0.039594389498233795,-0.0347684314162952,REJECT,ATM serine/threonine kinase,"reactive oxygen species eye increased amount, abnormal",[],False,False,False,False,,,
ATM,gene_gene,Rosq1,-0.28832724690437317,-0.071739344080056,REJECT,ATM serine/threonine kinase,reactive oxygen species QTL 1,[],False,False,False,False,,,
ATM,gene_gene,Y94A7B.11,-0.03312237188220024,-0.071739344080056,ACCEPT,ATM serine/threonine kinase,Reactive oxygen species modulator 1,[],False,False,False,False,,,
ATM,gene_gene,F15D4.3,-0.03694182634353638,-0.071739344080056,ACCEPT,ATM serine/threonine kinase,Reactive oxygen species modulator 1,[],False,False,False,False,,,
ATM,gene_gene,ROMO1,-0.009383123368024826,-0.071739344080056,ACCEPT,ATM serine/threonine kinase,reactive oxygen species modulator 1,[],False,False,False,False,,,
ATM,gene_gene,NRROS,-0.007736486848443747,-0.071739344080056,ACCEPT,ATM serine/threonine kinase,negative regulator of reactive oxygen species,[],False,False,False,False,,,
ATM,gene_protein,P60602,-0.027512801811099052,-0.0280984394514378,ACCEPT,ATM serine/threonine kinase,Reactive oxygen species modulator 1,[],False,False,False,False,,,
ATM,gene_protein,Q5QP16,-0.015173236839473248,-0.0280984394514378,ACCEPT,ATM serine/threonine kinase,Reactive oxygen species modulator 1,[],False,False,False,False,,,
ATM,gene_protein,E1P5R9,-0.014637342654168606,-0.0280984394514378,ACCEPT,ATM serine/threonine kinase,Reactive oxygen species modulator 1,[],False,False,False,False,,,
ATM,gene_protein,Q9CQ98,-0.015093454159796238,-0.0280984394514378,ACCEPT,ATM serine/threonine kinase,Reactive oxygen species modulator 1,[],False,False,False,False,,,
ATM,gene_protein,Q9H1N2,-0.012831062078475952,-0.0280984394514378,ACCEPT,ATM serine/threonine kinase,Reactive oxygen species modulator 1,[],False,False,False,False,,,
ATM,gene_biologicalprocess,GO:0000302,-0.0026857098564505577,-0.0356325677219588,ACCEPT,ATM serine/threonine kinase,response to reactive oxygen species,[],False,False,False,False,,,
ATM,gene_inhibits_biologicalprocess,GO:0000302,-0.0447239950299263,-0.0559618705714699,ACCEPT,ATM serine/threonine kinase,response to reactive oxygen species,[],False,False,False,False,,5.0,"{'gene_promotes_biologicalprocess': -0.0653, 'gene_inhibits_biologicalprocess': -0.0447, 'gene_positivelyassociatedwith_biologicalprocess': -0.1005, 'gene_notassociatedwith_biologicalprocess': -0.1302, 'gene_negativelyassociatedwith_biologicalprocess': -0.118}"
ATM,gene_biologicalprocess,GO:0072593,-0.002882100408896804,-0.0356325677219588,ACCEPT,ATM serine/threonine kinase,reactive oxygen species metabolic process,[],False,False,False,False,,,
ATM,gene_inhibits_biologicalprocess,GO:0072593,-0.06656448543071747,-0.0559618705714699,REJECT,ATM serine/threonine kinase,reactive oxygen species metabolic process,[],False,False,False,False,,5.0,"{'gene_promotes_biologicalprocess': -0.0883, 'gene_inhibits_biologicalprocess': -0.0666, 'gene_positivelyassociatedwith_biologicalprocess': -0.1194, 'gene_notassociatedwith_biologicalprocess': -0.1362, 'gene_negativelyassociatedwith_biologicalprocess': -0.1705}"
ATM,gene_biologicalprocess,GO:1903409,-0.0043397764675319195,-0.0356325677219588,ACCEPT,ATM serine/threonine kinase,reactive oxygen species biosynthetic process,[],False,False,False,False,,,
ATM,gene_inhibits_biologicalprocess,GO:1903409,-0.03400149196386337,-0.0559618705714699,ACCEPT,ATM serine/threonine kinase,reactive oxygen species biosynthetic process,[],False,False,False,False,,5.0,"{'gene_promotes_biologicalprocess': -0.0459, 'gene_inhibits_biologicalprocess': -0.034, 'gene_positivelyassociatedwith_biologicalprocess': -0.0773, 'gene_notassociatedwith_biologicalprocess': -0.1241, 'gene_negativelyassociatedwith_biologicalprocess': -0.0939}"
ATM,gene_biologicalprocess,GO:0034614,-0.005120286252349615,-0.0356325677219588,ACCEPT,ATM serine/threonine kinase,cellular response to reactive oxygen species,['Gene_BiologicalProcess'],False,True,True,False,Gene_BiologicalProcess,,
