head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type
SNF4Agamma,gene_gene,CG17299,-3.346342086791992,-0.071739344080056,REJECT,SNF4/AMP-activated protein kinase gamma subunit,SNF4/AMP-activated protein kinase gamma subunit,[],False,False,False,False,
SNF4Agamma,gene_gene,C01F6.2,-1.5419657230377197,-0.071739344080056,REJECT,SNF4/AMP-activated protein kinase gamma subunit,AMP-activated protein kinase glycogen-binding domain-containing protein,[],False,False,False,False,
SNF4Agamma,gene_gene,aak-2,-1.0264978408813477,-0.071739344080056,REJECT,SNF4/AMP-activated protein kinase gamma subunit,5'-AMP-activated protein kinase catalytic subunit alpha-2,[],False,False,False,False,
SNF4Agamma,gene_gene,T01C8.1,-1.4308767318725586,-0.071739344080056,REJECT,SNF4/AMP-activated protein kinase gamma subunit,5'-AMP-activated protein kinase catalytic subunit alpha-2,[],False,False,False,False,
SNF4Agamma,gene_protein,P78789,-1.9918389320373535,-0.0280984394514378,REJECT,SNF4/AMP-activated protein kinase gamma subunit,5'-AMP-activated protein kinase subunit beta,[],False,False,False,False,
SNF4Agamma,gene_protein,Q10343,-1.347216010093689,-0.0280984394514378,REJECT,SNF4/AMP-activated protein kinase gamma subunit,5'-AMP-activated protein kinase subunit gamma,[],False,False,False,False,
SNF4Agamma,gene_protein,Q8T277,-2.0428693294525146,-0.0280984394514378,REJECT,SNF4/AMP-activated protein kinase gamma subunit,5'-AMP-activated protein kinase subunit gamma,[],False,False,False,False,
SNF4Agamma,gene_protein,Q9P869,-1.3948365449905396,-0.0280984394514378,REJECT,SNF4/AMP-activated protein kinase gamma subunit,5'-AMP-activated protein kinase subunit gamma,[],False,False,False,False,
SNF4Agamma,gene_protein,P12904,-1.9139976501464844,-0.0280984394514378,REJECT,SNF4/AMP-activated protein kinase gamma subunit,5'-AMP-activated protein kinase subunit gamma,[],False,False,False,False,
SNF4Agamma,gene_gene,CG12876,-3.030885696411133,-0.071739344080056,REJECT,SNF4/AMP-activated protein kinase gamma subunit,ALG-2 interacting protein X,[],False,False,False,False,
SNF4Agamma,gene_protein,Q8T7K0,-1.7177265882492065,-0.0280984394514378,REJECT,SNF4/AMP-activated protein kinase gamma subunit,ALG-2 interacting protein X,[],False,False,False,False,
