head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
247,chemicalentity_chemicalentity,249,-0.017664136365056038,-0.2358310709639575,ACCEPT,glycine betaine,betaine aldehyde,[],False,False,False,False,,,
247,chemicalentity_chemicalentity,165000,-0.07622583210468292,-0.2358310709639575,ACCEPT,glycine betaine,cyanin betaine,[],False,False,False,False,,,
247,chemicalentity_chemicalentity,115244,-0.019307514652609825,-0.2358310709639575,ACCEPT,glycine betaine,L-proline betaine,[],False,False,False,False,,,
247,chemicalentity_chemicalentity,90657848,-0.08018364012241364,-0.2358310709639575,ACCEPT,glycine betaine,anthocyanidin betaine,[],False,False,False,False,,,
247,chemicalentity_biologicalprocess,GO:0090398,-0.004627767950296402,-0.2731139026585172,ACCEPT,glycine betaine,cellular senescence,[],False,False,False,False,,,
247,chemicalentity_inhibits_biologicalprocess,GO:0090398,-0.0009522881591692567,-0.7462257552943448,ACCEPT,glycine betaine,cellular senescence,[],False,False,False,False,,6.0,"{'chemicalentity_noeffect_biologicalprocess': -0.2371, 'chemicalentity_notassociatedwith_biologicalprocess': -0.0495, 'chemicalentity_promotes_biologicalprocess': -0.0159, 'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.0265, 'chemicalentity_inhibits_biologicalprocess': -0.001, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.0569}"
247,chemicalentity_biologicalprocess,GO:2000772,-0.018547069281339645,-0.2731139026585172,ACCEPT,glycine betaine,regulation of cellular senescence,[],False,False,False,False,,,
247,chemicalentity_inhibits_biologicalprocess,GO:2000772,-0.1036645844578743,-0.7462257552943448,ACCEPT,glycine betaine,regulation of cellular senescence,[],False,False,False,False,,6.0,"{'chemicalentity_noeffect_biologicalprocess': -1.3252, 'chemicalentity_notassociatedwith_biologicalprocess': -0.4311, 'chemicalentity_promotes_biologicalprocess': -0.2016, 'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.2135, 'chemicalentity_inhibits_biologicalprocess': -0.1037, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.3284}"
247,chemicalentity_biologicalprocess,GO:2000773,-0.013893628492951393,-0.2731139026585172,ACCEPT,glycine betaine,negative regulation of cellular senescence,[],False,False,False,False,,,
247,chemicalentity_inhibits_biologicalprocess,GO:2000773,-0.09788797050714493,-0.7462257552943448,ACCEPT,glycine betaine,negative regulation of cellular senescence,[],False,False,False,False,,6.0,"{'chemicalentity_noeffect_biologicalprocess': -0.8492, 'chemicalentity_notassociatedwith_biologicalprocess': -0.347, 'chemicalentity_promotes_biologicalprocess': -0.2893, 'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.1435, 'chemicalentity_inhibits_biologicalprocess': -0.0979, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.2497}"
247,chemicalentity_gene,TBK1,-0.0018486034823581576,-0.2065635831437511,ACCEPT,glycine betaine,TANK binding kinase 1,[],False,False,False,False,,,
247,chemicalentity_protein,Q6DFJ6,-0.12992848455905914,-0.3294023660562368,ACCEPT,glycine betaine,Serine/threonine-protein kinase TBK1,[],False,False,False,False,,,
249,chemicalentity_chemicalentity,165000,-0.16349026560783386,-0.2358310709639575,ACCEPT,betaine aldehyde,cyanin betaine,[],False,False,False,False,,,
249,chemicalentity_chemicalentity,115244,-0.10653581470251083,-0.2358310709639575,ACCEPT,betaine aldehyde,L-proline betaine,[],False,False,False,False,,,
249,chemicalentity_chemicalentity,90657848,-0.1281622350215912,-0.2358310709639575,ACCEPT,betaine aldehyde,anthocyanidin betaine,[],False,False,False,False,,,
249,chemicalentity_biologicalprocess,GO:0090398,-0.03003068082034588,-0.2731139026585172,ACCEPT,betaine aldehyde,cellular senescence,[],False,False,False,False,,,
249,chemicalentity_inhibits_biologicalprocess,GO:0090398,-0.004498654510825872,-0.7462257552943448,ACCEPT,betaine aldehyde,cellular senescence,[],False,False,False,False,,6.0,"{'chemicalentity_noeffect_biologicalprocess': -0.3826, 'chemicalentity_notassociatedwith_biologicalprocess': -0.1247, 'chemicalentity_promotes_biologicalprocess': -0.0438, 'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.1213, 'chemicalentity_inhibits_biologicalprocess': -0.0045, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.1313}"
249,chemicalentity_biologicalprocess,GO:2000772,-0.09497785568237305,-0.2731139026585172,ACCEPT,betaine aldehyde,regulation of cellular senescence,[],False,False,False,False,,,
