head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
247,chemicalentity_chemicalentity,249,-0.017664136365056038,-0.2425281074611494,ACCEPT,glycine betaine,betaine aldehyde,[],False,False,False,False,,,
247,chemicalentity_chemicalentity,165000,-0.07622583210468292,-0.2425281074611494,ACCEPT,glycine betaine,cyanin betaine,[],False,False,False,False,,,
247,chemicalentity_chemicalentity,115244,-0.019307514652609825,-0.2425281074611494,ACCEPT,glycine betaine,L-proline betaine,[],False,False,False,False,,,
247,chemicalentity_gene,TBK1,-0.0018486034823581576,-0.2458965898096785,ACCEPT,glycine betaine,TANK binding kinase 1,[],False,False,False,False,,,
247,chemicalentity_protein,Q6DFJ6,-0.12992848455905914,-0.3552259656009227,ACCEPT,glycine betaine,Serine/threonine-protein kinase TBK1,[],False,False,False,False,,,
247,chemicalentity_biologicalprocess,GO:0090398,-0.004627767950296402,-0.232143107153421,ACCEPT,glycine betaine,cellular senescence,[],False,False,False,False,,,
247,chemicalentity_inhibits_biologicalprocess,GO:0090398,-0.0009522881591692567,-0.7050372264239742,ACCEPT,glycine betaine,cellular senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.0265, 'chemicalentity_notassociatedwith_biologicalprocess': -0.0495, 'chemicalentity_inhibits_biologicalprocess': -0.001, 'chemicalentity_promotes_biologicalprocess': -0.0159, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.0569, 'chemicalentity_noeffect_biologicalprocess': -0.2371}"
247,chemicalentity_biologicalprocess,GO:2000772,-0.018547069281339645,-0.232143107153421,ACCEPT,glycine betaine,regulation of cellular senescence,[],False,False,False,False,,,
247,chemicalentity_inhibits_biologicalprocess,GO:2000772,-0.1036645844578743,-0.7050372264239742,ACCEPT,glycine betaine,regulation of cellular senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.2135, 'chemicalentity_notassociatedwith_biologicalprocess': -0.4311, 'chemicalentity_inhibits_biologicalprocess': -0.1037, 'chemicalentity_promotes_biologicalprocess': -0.2016, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.3284, 'chemicalentity_noeffect_biologicalprocess': -1.3252}"
247,chemicalentity_biologicalprocess,GO:2000774,-0.008934669196605682,-0.232143107153421,ACCEPT,glycine betaine,positive regulation of cellular senescence,[],False,False,False,False,,,
247,chemicalentity_inhibits_biologicalprocess,GO:2000774,-0.07218481600284576,-0.7050372264239742,ACCEPT,glycine betaine,positive regulation of cellular senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.0898, 'chemicalentity_notassociatedwith_biologicalprocess': -0.2684, 'chemicalentity_inhibits_biologicalprocess': -0.0722, 'chemicalentity_promotes_biologicalprocess': -0.1643, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.1651, 'chemicalentity_noeffect_biologicalprocess': -1.3924}"
247,chemicalentity_biologicalprocess,GO:2000773,-0.013893628492951393,-0.232143107153421,ACCEPT,glycine betaine,negative regulation of cellular senescence,[],False,False,False,False,,,
