head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
ZNF512B,gene_cellularcomponent,GO:0016581,-0.004561295732855797,-0.0358198597771757,ACCEPT,zinc finger protein 512B,NuRD complex,[],False,False,False,False,,,
ZNF512B,gene_molecularfunction,GO:0120325,-0.06984185427427292,-0.0286995250249342,REJECT,zinc finger protein 512B,NuRD complex binding,[],False,False,False,False,,,
ZNF512B,gene_biologicalprocess,GO:0006974,-0.00787992961704731,-0.0356325677219588,ACCEPT,zinc finger protein 512B,DNA damage response,[],False,False,False,False,,,
ZNF512B,gene_promotes_biologicalprocess,GO:0006974,-0.05846734717488289,-0.0617563253450388,ACCEPT,zinc finger protein 512B,DNA damage response,[],False,False,False,False,,5.0,"{'gene_promotes_biologicalprocess': -0.0585, 'gene_inhibits_biologicalprocess': -0.0786, 'gene_positivelyassociatedwith_biologicalprocess': -0.2498, 'gene_notassociatedwith_biologicalprocess': -0.124, 'gene_negativelyassociatedwith_biologicalprocess': -0.2084}"
ZNF512B,gene_biologicalprocess,GO:0160049,-0.1467968225479126,-0.0356325677219588,REJECT,zinc finger protein 512B,negative regulation of cGAS/STING signaling pathway,[],False,False,False,False,,,
ZNF512B,gene_notassociatedwith_biologicalprocess,GO:0160049,-0.5742994546890259,-0.1941926147433079,REJECT,zinc finger protein 512B,negative regulation of cGAS/STING signaling pathway,[],False,False,False,False,,5.0,"{'gene_promotes_biologicalprocess': -0.657, 'gene_inhibits_biologicalprocess': -0.6638, 'gene_positivelyassociatedwith_biologicalprocess': -0.6098, 'gene_notassociatedwith_biologicalprocess': -0.5743, 'gene_negativelyassociatedwith_biologicalprocess': -0.6352}"
ZNF512B,gene_biologicalprocess,GO:0141111,-0.02068420872092247,-0.0356325677219588,ACCEPT,zinc finger protein 512B,positive regulation of cGAS/STING signaling pathway,[],False,False,False,False,,,
ZNF512B,gene_promotes_biologicalprocess,GO:0141111,-0.16461630165576935,-0.0617563253450388,REJECT,zinc finger protein 512B,positive regulation of cGAS/STING signaling pathway,[],False,False,False,False,,5.0,"{'gene_promotes_biologicalprocess': -0.1646, 'gene_inhibits_biologicalprocess': -0.182, 'gene_positivelyassociatedwith_biologicalprocess': -0.405, 'gene_notassociatedwith_biologicalprocess': -0.3024, 'gene_negativelyassociatedwith_biologicalprocess': -0.4078}"
ZNF512B,gene_gene,CGAS,-0.03205464035272598,-0.071739344080056,ACCEPT,zinc finger protein 512B,cyclic GMP-AMP synthase,[],False,False,False,False,,,
ZNF512B,gene_biologicalprocess,GO:0006954,-0.006707706488668919,-0.0356325677219588,ACCEPT,zinc finger protein 512B,inflammatory response,[],False,False,False,False,,,
ZNF512B,gene_promotes_biologicalprocess,GO:0006954,-0.05813346058130264,-0.0617563253450388,ACCEPT,zinc finger protein 512B,inflammatory response,[],False,False,False,False,,5.0,"{'gene_promotes_biologicalprocess': -0.0581, 'gene_inhibits_biologicalprocess': -0.0726, 'gene_positivelyassociatedwith_biologicalprocess': -0.1804, 'gene_notassociatedwith_biologicalprocess': -0.1243, 'gene_negativelyassociatedwith_biologicalprocess': -0.1533}"
ZNF512B,gene_pathway,R-HSA-2559582,-0.007508412003517151,-0.0346968297443117,ACCEPT,zinc finger protein 512B,Senescence-Associated Secretory Phenotype (SASP),[],False,False,False,False,,,
ZNF512B,gene_pathway,R-MMU-2559582,-0.07762490212917328,-0.0346968297443117,REJECT,zinc finger protein 512B,Senescence-Associated Secretory Phenotype (SASP),[],False,False,False,False,,,
ZNF512B,gene_biologicalprocess,GO:1111111,-0.112804114818573,-0.0356325677219588,REJECT,zinc finger protein 512B,genomic instability,[],False,False,False,False,,,
ZNF512B,gene_promotes_biologicalprocess,GO:1111111,-0.3401414453983307,-0.0617563253450388,REJECT,zinc finger protein 512B,genomic instability,[],False,False,False,False,,5.0,"{'gene_promotes_biologicalprocess': -0.3401, 'gene_inhibits_biologicalprocess': -0.5331, 'gene_positivelyassociatedwith_biologicalprocess': -0.6413, 'gene_notassociatedwith_biologicalprocess': -0.9765, 'gene_negativelyassociatedwith_biologicalprocess': -1.0291}"
ZNF512B,gene_biologicalprocess,GO:0071514,-0.011539081111550331,-0.0356325677219588,ACCEPT,zinc finger protein 512B,genomic imprinting,[],False,False,False,False,,,
ZNF512B,gene_promotes_biologicalprocess,GO:0071514,-0.07618390768766403,-0.0617563253450388,REJECT,zinc finger protein 512B,genomic imprinting,[],False,False,False,False,,5.0,"{'gene_promotes_biologicalprocess': -0.0762, 'gene_inhibits_biologicalprocess': -0.0915, 'gene_positivelyassociatedwith_biologicalprocess': -0.2562, 'gene_notassociatedwith_biologicalprocess': -0.2697, 'gene_negativelyassociatedwith_biologicalprocess': -0.2078}"
ZNF512B,gene_biologicalprocess,GO:0001894,-0.011532982811331749,-0.0356325677219588,ACCEPT,zinc finger protein 512B,tissue homeostasis,[],False,False,False,False,,,
ZNF512B,gene_promotes_biologicalprocess,GO:0001894,-0.05555468052625656,-0.0617563253450388,ACCEPT,zinc finger protein 512B,tissue homeostasis,[],False,False,False,False,,5.0,"{'gene_promotes_biologicalprocess': -0.0556, 'gene_inhibits_biologicalprocess': -0.0808, 'gene_positivelyassociatedwith_biologicalprocess': -0.1887, 'gene_notassociatedwith_biologicalprocess': -0.1368, 'gene_negativelyassociatedwith_biologicalprocess': -0.1777}"
GO:0016581,cellularcomponent_gene,CGAS,-0.006281654350459576,-0.0325983804673724,ACCEPT,NuRD complex,cyclic GMP-AMP synthase,[],False,False,False,False,,,
GO:0120325,molecularfunction_biologicalprocess,GO:0006974,-0.05794709920883179,-0.0147993624499696,REJECT,NuRD complex binding,DNA damage response,[],False,False,False,False,,,
GO:0120325,molecularfunction_biologicalprocess,GO:0160049,-0.463569313287735,-0.0147993624499696,REJECT,NuRD complex binding,negative regulation of cGAS/STING signaling pathway,[],False,False,False,False,,,
GO:0120325,molecularfunction_biologicalprocess,GO:0141111,-0.07328036427497864,-0.0147993624499696,REJECT,NuRD complex binding,positive regulation of cGAS/STING signaling pathway,[],False,False,False,False,,,
GO:0120325,molecularfunction_biologicalprocess,GO:0006954,-0.060154639184474945,-0.0147993624499696,REJECT,NuRD complex binding,inflammatory response,[],False,False,False,False,,,
GO:0120325,molecularfunction_biologicalprocess,GO:1111111,-0.2103763073682785,-0.0147993624499696,REJECT,NuRD complex binding,genomic instability,[],False,False,False,False,,,
GO:0120325,molecularfunction_biologicalprocess,GO:0071514,-0.08199380338191986,-0.0147993624499696,REJECT,NuRD complex binding,genomic imprinting,[],False,False,False,False,,,
GO:0120325,molecularfunction_biologicalprocess,GO:0001894,-0.05521567910909653,-0.0147993624499696,REJECT,NuRD complex binding,tissue homeostasis,[],False,False,False,False,,,
GO:0006974,biologicalprocess_cellularcomponent,GO:0016581,-2.6531170078669675e-05,-0.3461928175792534,ACCEPT,DNA damage response,NuRD complex,[],False,False,False,False,,,
GO:0006974,biologicalprocess_biologicalprocess,GO:0160049,-0.005236753728240728,-0.0422867482620858,ACCEPT,DNA damage response,negative regulation of cGAS/STING signaling pathway,[],False,False,False,False,,,
GO:0006974,biologicalprocess_biologicalprocess,GO:0141111,-0.00010087633563671261,-0.0422867482620858,ACCEPT,DNA damage response,positive regulation of cGAS/STING signaling pathway,[],False,False,False,False,,,
GO:0006974,biologicalprocess_gene,CGAS,-0.0007775226840749383,-0.085789182677173,ACCEPT,DNA damage response,cyclic GMP-AMP synthase,['BiologicalProcess_Gene'],False,True,True,False,BiologicalProcess_Gene,,
