head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type
G6PD,gene_protein,A0QQJ4,-0.03680121898651123,-0.0280984394514378,REJECT,glucose-6-phosphate dehydrogenase,F420-dependent glucose-6-phosphate dehydrogenase,[],False,False,False,False,
G6PD,gene_protein,D4GS48,-0.023532375693321228,-0.0280984394514378,ACCEPT,glucose-6-phosphate dehydrogenase,NAD-dependent glucose-6-phosphate dehydrogenase {ECO:0000305},[],False,False,False,False,
G6PD,gene_protein,A0A1L1Z846,-0.024572718888521194,-0.0280984394514378,ACCEPT,glucose-6-phosphate dehydrogenase,Glucose-6-phosphate dehydrogenase {ECO:0000313|Ensembl:ENSP00000512623.1},[],False,False,False,False,
G6PD,gene_protein,C9WCU9,-0.053291574120521545,-0.0280984394514378,REJECT,glucose-6-phosphate dehydrogenase,glucose-6-phosphate dehydrogenase (NADP(+)) {ECO:0000256|ARBA:ARBA00013019},[],False,False,False,False,
G6PD,gene_protein,D2DKN7,-0.019970929250121117,-0.0280984394514378,ACCEPT,glucose-6-phosphate dehydrogenase,glucose-6-phosphate dehydrogenase (NADP(+)) {ECO:0000256|ARBA:ARBA00013019},[],False,False,False,False,
G6PD,gene_chemicalentity,11250888,-0.02446821518242359,-0.0285922419958417,ACCEPT,glucose-6-phosphate dehydrogenase,"[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] [(2S,3R,4S,5S)-5-(3-carbamoyl-4H-pyridin-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl hydrogen phosphate",[],False,False,False,False,
G6PD,gene_gene,HDAC3,-0.006326855625957251,-0.071739344080056,ACCEPT,glucose-6-phosphate dehydrogenase,histone deacetylase 3,['Gene_Gene'],False,True,True,False,Gene_Gene
G6PD,gene_gene,hdac3,-0.02184358611702919,-0.071739344080056,ACCEPT,glucose-6-phosphate dehydrogenase,histone deacetylase 3,['Gene_Gene'],False,True,True,False,Gene_Gene
G6PD,gene_gene,CG2128,-0.008685515262186527,-0.071739344080056,ACCEPT,glucose-6-phosphate dehydrogenase,Histone deacetylase 3,['Gene_Gene'],False,True,True,False,Gene_Gene
G6PD,gene_protein,O15379,-0.008358481340110302,-0.0280984394514378,ACCEPT,glucose-6-phosphate dehydrogenase,Histone deacetylase 3,[],False,False,False,False,
G6PD,gene_protein,O43268,-0.0071766613982617855,-0.0280984394514378,ACCEPT,glucose-6-phosphate dehydrogenase,Histone deacetylase 3,[],False,False,False,False,
G6PD,gene_protein,Q6P6W3,-0.013263395056128502,-0.0280984394514378,ACCEPT,glucose-6-phosphate dehydrogenase,Histone deacetylase 3,[],False,False,False,False,
G6PD,gene_protein,Q803C3,-0.02201162278652191,-0.0280984394514378,ACCEPT,glucose-6-phosphate dehydrogenase,Histone deacetylase 3,[],False,False,False,False,
G6PD,gene_protein,Q9UEI5,-0.0073743765242397785,-0.0280984394514378,ACCEPT,glucose-6-phosphate dehydrogenase,Histone deacetylase 3,[],False,False,False,False,
G6PD,gene_phenotype,endothelial cell circular abnormal,-0.012980257160961628,-0.0347684314162952,ACCEPT,glucose-6-phosphate dehydrogenase,    endothelial cell circular abnormal  ,[],False,False,False,False,
G6PD,gene_phenotype,endothelial cell apoptotic abnormal,-0.023454871028661728,-0.0347684314162952,ACCEPT,glucose-6-phosphate dehydrogenase,    endothelial cell apoptotic abnormal  ,[],False,False,False,False,
G6PD,gene_phenotype,endothelial cell morphology abnormal,-0.010283278301358223,-0.0347684314162952,ACCEPT,glucose-6-phosphate dehydrogenase,    endothelial cell morphology abnormal  ,[],False,False,False,False,
G6PD,gene_phenotype,endothelial cell mislocalised abnormal,-0.019277557730674744,-0.0347684314162952,ACCEPT,glucose-6-phosphate dehydrogenase,    endothelial cell mislocalised abnormal  ,[],False,False,False,False,
G6PD,gene_phenotype,increased endothelial cell proliferation,-0.01131647638976574,-0.0347684314162952,ACCEPT,glucose-6-phosphate dehydrogenase,increased endothelial cell proliferation,[],False,False,False,False,
G6PD,gene_tissue,BTO:0001176,-0.00958404690027237,-0.0456591214389128,ACCEPT,glucose-6-phosphate dehydrogenase,endothelial cell,['Gene_Tissue'],False,True,True,False,Gene_Tissue
G6PD,gene_tissue,BTO:0005812,-0.011293185874819756,-0.0456591214389128,ACCEPT,glucose-6-phosphate dehydrogenase,lung endothelial cell,[],False,False,False,False,
G6PD,gene_tissue,BTO:0001519,-0.006515241228044033,-0.0456591214389128,ACCEPT,glucose-6-phosphate dehydrogenase,endothelial cell line,['Gene_Tissue'],False,True,True,False,Gene_Tissue
G6PD,gene_tissue,BTO:0004294,-0.005347591359168291,-0.0456591214389128,ACCEPT,glucose-6-phosphate dehydrogenase,heart endothelial cell,[],False,False,False,False,
G6PD,gene_tissue,BTO:0005201,-0.007476747501641512,-0.0456591214389128,ACCEPT,glucose-6-phosphate dehydrogenase,brain endothelial cell,['Gene_Tissue'],False,True,True,False,Gene_Tissue
G6PD,gene_anatomicalentity,ZFA:0009065,-0.1259816735982895,-0.1335364966199179,ACCEPT,glucose-6-phosphate dehydrogenase,endothelial cell,[],False,False,False,False,
A0QQJ4,protein_protein,D4GS48,-0.7499985098838806,-0.2036837140803804,REJECT,F420-dependent glucose-6-phosphate dehydrogenase,NAD-dependent glucose-6-phosphate dehydrogenase {ECO:0000305},[],False,False,False,False,
A0QQJ4,protein_protein,A0A1L1Z846,-0.6321064233779907,-0.2036837140803804,REJECT,F420-dependent glucose-6-phosphate dehydrogenase,Glucose-6-phosphate dehydrogenase {ECO:0000313|Ensembl:ENSP00000512623.1},[],False,False,False,False,
A0QQJ4,protein_protein,C9WCU9,-0.5104500651359558,-0.2036837140803804,REJECT,F420-dependent glucose-6-phosphate dehydrogenase,glucose-6-phosphate dehydrogenase (NADP(+)) {ECO:0000256|ARBA:ARBA00013019},[],False,False,False,False,
A0QQJ4,protein_protein,D2DKN7,-0.7021037936210632,-0.2036837140803804,REJECT,F420-dependent glucose-6-phosphate dehydrogenase,glucose-6-phosphate dehydrogenase (NADP(+)) {ECO:0000256|ARBA:ARBA00013019},[],False,False,False,False,
A0QQJ4,protein_chemicalentity,11250888,-1.302695870399475,-0.1571110372511136,REJECT,F420-dependent glucose-6-phosphate dehydrogenase,"[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] [(2S,3R,4S,5S)-5-(3-carbamoyl-4H-pyridin-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl hydrogen phosphate",[],False,False,False,False,
A0QQJ4,protein_protein,O15379,-4.789751052856445,-0.2036837140803804,REJECT,F420-dependent glucose-6-phosphate dehydrogenase,Histone deacetylase 3,[],False,False,False,False,
A0QQJ4,protein_protein,O43268,-4.83281946182251,-0.2036837140803804,REJECT,F420-dependent glucose-6-phosphate dehydrogenase,Histone deacetylase 3,[],False,False,False,False,
A0QQJ4,protein_protein,Q6P6W3,-1.1810219287872314,-0.2036837140803804,REJECT,F420-dependent glucose-6-phosphate dehydrogenase,Histone deacetylase 3,[],False,False,False,False,
A0QQJ4,protein_protein,Q803C3,-0.9871877431869507,-0.2036837140803804,REJECT,F420-dependent glucose-6-phosphate dehydrogenase,Histone deacetylase 3,[],False,False,False,False,
A0QQJ4,protein_protein,Q9UEI5,-4.880019664764404,-0.2036837140803804,REJECT,F420-dependent glucose-6-phosphate dehydrogenase,Histone deacetylase 3,[],False,False,False,False,
A0QQJ4,protein_phenotype,endothelial cell circular abnormal,-1.3655954599380493,-0.0497034494975703,REJECT,F420-dependent glucose-6-phosphate dehydrogenase,    endothelial cell circular abnormal  ,[],False,False,False,False,
A0QQJ4,protein_phenotype,endothelial cell apoptotic abnormal,-1.2192344665527344,-0.0497034494975703,REJECT,F420-dependent glucose-6-phosphate dehydrogenase,    endothelial cell apoptotic abnormal  ,[],False,False,False,False,
