head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
Q9Z2V4,protein_biologicalprocess,GO:0006979,-0.378959983587265,-0.4622286150283048,ACCEPT,"Phosphoenolpyruvate carboxykinase, cytosolic [GTP] {ECO:0000305}",response to oxidative stress,[],False,False,False,False,,,
Q9Z2V4,protein_biologicalprocess,GO:0070994,-0.6560162305831909,-0.4622286150283048,REJECT,"Phosphoenolpyruvate carboxykinase, cytosolic [GTP] {ECO:0000305}",detection of oxidative stress,[],False,False,False,False,,,
Q9Z2V4,protein_biologicalprocess,GO:0034599,-0.4068293571472168,-0.4622286150283048,ACCEPT,"Phosphoenolpyruvate carboxykinase, cytosolic [GTP] {ECO:0000305}",cellular response to oxidative stress,[],False,False,False,False,,,
Q9Z2V4,protein_tissue,BTO:0001456,-2.666252374649048,-0.167513432965471,REJECT,"Phosphoenolpyruvate carboxykinase, cytosolic [GTP] {ECO:0000305}",white adipose tissue,[],False,False,False,False,,,
Q9Z2V4,protein_tissue,BTO:0005944,-3.897000551223755,-0.167513432965471,REJECT,"Phosphoenolpyruvate carboxykinase, cytosolic [GTP] {ECO:0000305}",epididymal white adipose tissue,[],False,False,False,False,,,
Q9Z2V4,protein_biologicalprocess,GO:0090398,-0.48611804842948914,-0.4622286150283048,REJECT,"Phosphoenolpyruvate carboxykinase, cytosolic [GTP] {ECO:0000305}",cellular senescence,[],False,False,False,False,,,
Q9Z2V4,protein_biologicalprocess,GO:2000772,-0.4771832227706909,-0.4622286150283048,REJECT,"Phosphoenolpyruvate carboxykinase, cytosolic [GTP] {ECO:0000305}",regulation of cellular senescence,[],False,False,False,False,,,
Q9Z2V4,protein_biologicalprocess,GO:2000774,-0.5306128859519958,-0.4622286150283048,REJECT,"Phosphoenolpyruvate carboxykinase, cytosolic [GTP] {ECO:0000305}",positive regulation of cellular senescence,[],False,False,False,False,,,
Q9Z2V4,protein_biologicalprocess,GO:2000773,-0.5062509775161743,-0.4622286150283048,REJECT,"Phosphoenolpyruvate carboxykinase, cytosolic [GTP] {ECO:0000305}",negative regulation of cellular senescence,[],False,False,False,False,,,
PCK1,gene_protein,Q9Z2V4,-0.076872818171978,-0.0414583455360082,REJECT,phosphoenolpyruvate carboxykinase 1,"Phosphoenolpyruvate carboxykinase, cytosolic [GTP] {ECO:0000305}",[],False,False,False,False,,,
PCK1,gene_biologicalprocess,GO:0006979,-0.003290654392912984,-0.0259886974800522,ACCEPT,phosphoenolpyruvate carboxykinase 1,response to oxidative stress,[],False,False,False,False,,,
PCK1,gene_promotes_biologicalprocess,GO:0006979,-0.05967243015766144,-0.0527332796523318,REJECT,phosphoenolpyruvate carboxykinase 1,response to oxidative stress,[],False,False,False,False,,5.0,"{'gene_positivelyassociatedwith_biologicalprocess': -0.1302, 'gene_negativelyassociatedwith_biologicalprocess': -0.1497, 'gene_inhibits_biologicalprocess': -0.0787, 'gene_notassociatedwith_biologicalprocess': -0.1558, 'gene_promotes_biologicalprocess': -0.0597}"
PCK1,gene_biologicalprocess,GO:0070994,-0.015933383256196976,-0.0259886974800522,ACCEPT,phosphoenolpyruvate carboxykinase 1,detection of oxidative stress,[],False,False,False,False,,,
PCK1,gene_promotes_biologicalprocess,GO:0070994,-0.17349211871623993,-0.0527332796523318,REJECT,phosphoenolpyruvate carboxykinase 1,detection of oxidative stress,[],False,False,False,False,,5.0,"{'gene_positivelyassociatedwith_biologicalprocess': -0.2282, 'gene_negativelyassociatedwith_biologicalprocess': -0.2885, 'gene_inhibits_biologicalprocess': -0.1899, 'gene_notassociatedwith_biologicalprocess': -0.2754, 'gene_promotes_biologicalprocess': -0.1735}"
PCK1,gene_biologicalprocess,GO:0034599,-0.0050325412303209305,-0.0259886974800522,ACCEPT,phosphoenolpyruvate carboxykinase 1,cellular response to oxidative stress,[],False,False,False,False,,,
PCK1,gene_promotes_biologicalprocess,GO:0034599,-0.07699017971754074,-0.0527332796523318,REJECT,phosphoenolpyruvate carboxykinase 1,cellular response to oxidative stress,[],False,False,False,False,,5.0,"{'gene_positivelyassociatedwith_biologicalprocess': -0.0941, 'gene_negativelyassociatedwith_biologicalprocess': -0.1824, 'gene_inhibits_biologicalprocess': -0.0941, 'gene_notassociatedwith_biologicalprocess': -0.154, 'gene_promotes_biologicalprocess': -0.077}"
PCK1,gene_tissue,BTO:0001456,-0.012176821939647198,-0.0355469436518127,ACCEPT,phosphoenolpyruvate carboxykinase 1,white adipose tissue,['Gene_Tissue'],False,True,True,False,Gene_Tissue,,
PCK1,gene_tissue,BTO:0005944,-0.006931151729077101,-0.0355469436518127,ACCEPT,phosphoenolpyruvate carboxykinase 1,epididymal white adipose tissue,['Gene_Tissue'],False,True,True,False,Gene_Tissue,,
PCK1,gene_biologicalprocess,GO:0090398,-0.02971513941884041,-0.0259886974800522,REJECT,phosphoenolpyruvate carboxykinase 1,cellular senescence,[],False,False,False,False,,,
PCK1,gene_promotes_biologicalprocess,GO:0090398,-0.01297032367438078,-0.0527332796523318,ACCEPT,phosphoenolpyruvate carboxykinase 1,cellular senescence,[],False,False,False,False,,5.0,"{'gene_positivelyassociatedwith_biologicalprocess': -0.1202, 'gene_negativelyassociatedwith_biologicalprocess': -0.1248, 'gene_inhibits_biologicalprocess': -0.0142, 'gene_notassociatedwith_biologicalprocess': -0.1441, 'gene_promotes_biologicalprocess': -0.013}"
PCK1,gene_biologicalprocess,GO:2000772,-0.012255980633199215,-0.0259886974800522,ACCEPT,phosphoenolpyruvate carboxykinase 1,regulation of cellular senescence,[],False,False,False,False,,,
PCK1,gene_promotes_biologicalprocess,GO:2000772,-0.22484827041625977,-0.0527332796523318,REJECT,phosphoenolpyruvate carboxykinase 1,regulation of cellular senescence,[],False,False,False,False,,5.0,"{'gene_positivelyassociatedwith_biologicalprocess': -0.3089, 'gene_negativelyassociatedwith_biologicalprocess': -0.2856, 'gene_inhibits_biologicalprocess': -0.2821, 'gene_notassociatedwith_biologicalprocess': -0.3265, 'gene_promotes_biologicalprocess': -0.2248}"
