head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
4091,chemicalentity_gene,SNF4Agamma,-0.5178114771842957,-0.2065635831437511,REJECT,metformin,SNF4/AMP-activated protein kinase gamma subunit,[],False,False,False,False,,,
4091,chemicalentity_gene,CG17299,-0.0218428336083889,-0.2065635831437511,ACCEPT,metformin,SNF4/AMP-activated protein kinase gamma subunit,[],False,False,False,False,,,
4091,chemicalentity_gene,C01F6.2,-0.21796274185180664,-0.2065635831437511,REJECT,metformin,AMP-activated protein kinase glycogen-binding domain-containing protein,[],False,False,False,False,,,
4091,chemicalentity_gene,aak-2,-0.45179513096809387,-0.2065635831437511,REJECT,metformin,5'-AMP-activated protein kinase catalytic subunit alpha-2,[],False,False,False,False,,,
4091,chemicalentity_gene,T01C8.1,-0.24017418920993805,-0.2065635831437511,REJECT,metformin,5'-AMP-activated protein kinase catalytic subunit alpha-2,[],False,False,False,False,,,
4091,chemicalentity_protein,P78789,-0.20540979504585266,-0.3294023660562368,ACCEPT,metformin,5'-AMP-activated protein kinase subunit beta,[],False,False,False,False,,,
4091,chemicalentity_protein,Q10343,-0.2916843593120575,-0.3294023660562368,ACCEPT,metformin,5'-AMP-activated protein kinase subunit gamma,[],False,False,False,False,,,
4091,chemicalentity_protein,Q8T277,-0.18643055856227875,-0.3294023660562368,ACCEPT,metformin,5'-AMP-activated protein kinase subunit gamma,[],False,False,False,False,,,
4091,chemicalentity_protein,Q9P869,-0.29236432909965515,-0.3294023660562368,ACCEPT,metformin,5'-AMP-activated protein kinase subunit gamma,[],False,False,False,False,,,
4091,chemicalentity_protein,P12904,-0.15513673424720764,-0.3294023660562368,ACCEPT,metformin,5'-AMP-activated protein kinase subunit gamma,[],False,False,False,False,,,
4091,chemicalentity_biologicalprocess,GO:0141111,-0.0016249403124675155,-0.2731139026585172,ACCEPT,metformin,positive regulation of cGAS/STING signaling pathway,[],False,False,False,False,,,
