head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
CASP3,gene_protein,A8K5M2,-0.02002573013305664,-0.0414583455360082,ACCEPT,caspase 3,Caspase-3 subunit p12,[],False,False,False,False,,,
CASP3,gene_protein,P42574,-0.019342584535479546,-0.0414583455360082,ACCEPT,caspase 3,Caspase-3 subunit p12,['Gene_Protein'],False,True,True,False,Gene_Protein,,
CASP3,gene_protein,P70677,-0.011361325159668922,-0.0414583455360082,ACCEPT,caspase 3,Caspase-3 subunit p12,[],False,False,False,False,,,
CASP3,gene_protein,Q2PFV2,-0.032556746155023575,-0.0414583455360082,ACCEPT,caspase 3,Caspase-3 subunit p12,[],False,False,False,False,,,
CASP3,gene_protein,Q5IS54,-0.016701698303222656,-0.0414583455360082,ACCEPT,caspase 3,Caspase-3 subunit p12,[],False,False,False,False,,,
CASP3,gene_phenotype,amyloid precursor protein metabolic process disrupted abnormal,-0.028250250965356827,-0.0441083388020473,ACCEPT,caspase 3,    amyloid precursor protein metabolic process disrupted abnormal  ,[],False,False,False,False,,,
CASP3,gene_biologicalprocess,GO:0042987,-0.007061466574668884,-0.0259886974800522,ACCEPT,caspase 3,amyloid precursor protein catabolic process,[],False,False,False,False,,,
CASP3,gene_inhibits_biologicalprocess,GO:0042987,-0.18566030263900757,-0.0860653631820946,REJECT,caspase 3,amyloid precursor protein catabolic process,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.1857, 'gene_promotes_biologicalprocess': -0.2432, 'gene_notassociatedwith_biologicalprocess': -0.2869, 'gene_positivelyassociatedwith_biologicalprocess': -0.2903, 'gene_negativelyassociatedwith_biologicalprocess': -0.3809}"
CASP3,gene_biologicalprocess,GO:0042982,-0.006072954274713993,-0.0259886974800522,ACCEPT,caspase 3,amyloid precursor protein metabolic process,[],False,False,False,False,,,
CASP3,gene_inhibits_biologicalprocess,GO:0042982,-0.10921111702919006,-0.0860653631820946,REJECT,caspase 3,amyloid precursor protein metabolic process,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.1092, 'gene_promotes_biologicalprocess': -0.12, 'gene_notassociatedwith_biologicalprocess': -0.1692, 'gene_positivelyassociatedwith_biologicalprocess': -0.1753, 'gene_negativelyassociatedwith_biologicalprocess': -0.1933}"
CASP3,gene_biologicalprocess,GO:0042983,-0.020500756800174713,-0.0259886974800522,ACCEPT,caspase 3,amyloid precursor protein biosynthetic process,[],False,False,False,False,,,
CASP3,gene_notassociatedwith_biologicalprocess,GO:0042983,-0.20890499651432037,-0.1633548330007843,REJECT,caspase 3,amyloid precursor protein biosynthetic process,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.2792, 'gene_promotes_biologicalprocess': -0.2283, 'gene_notassociatedwith_biologicalprocess': -0.2089, 'gene_positivelyassociatedwith_biologicalprocess': -0.2614, 'gene_negativelyassociatedwith_biologicalprocess': -0.2805}"
CASP3,gene_biologicalprocess,GO:1902991,-0.007187505718320608,-0.0259886974800522,ACCEPT,caspase 3,regulation of amyloid precursor protein catabolic process,[],False,False,False,False,,,
CASP3,gene_promotes_biologicalprocess,GO:1902991,-0.060516417026519775,-0.0527332796523318,REJECT,caspase 3,regulation of amyloid precursor protein catabolic process,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.0878, 'gene_promotes_biologicalprocess': -0.0605, 'gene_notassociatedwith_biologicalprocess': -0.1567, 'gene_positivelyassociatedwith_biologicalprocess': -0.194, 'gene_negativelyassociatedwith_biologicalprocess': -0.1889}"
CASP3,gene_biologicalprocess,GO:0042984,-0.01153870765119791,-0.0259886974800522,ACCEPT,caspase 3,regulation of amyloid precursor protein biosynthetic process,[],False,False,False,False,,,
