head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
40469134,chemicalentity_chemicalentity,DB12755,-1.646162509918213,-0.2358310709639575,REJECT,doxorubicin(1+),Zoptarelin doxorubicin,[],False,False,False,False,,,
40469134,chemicalentity_chemicalentity,31703,-5.788841247558594,-0.2358310709639575,REJECT,doxorubicin(1+),"(7S,9S)-7-[(2R,4S,5S,6S)-4-amino-5-hydroxy-6-methyloxan-2-yl]oxy-6,9,11-trihydroxy-9-(2-hydroxyacetyl)-4-methoxy-8,10-dihydro-7H-tetracene-5,12-dione",['ChemicalEntity_ChemicalEntity'],False,True,True,False,ChemicalEntity_ChemicalEntity,,
40469134,chemicalentity_chemicalentity,443939,-3.2100257873535156,-0.2358310709639575,REJECT,doxorubicin(1+),"(7S,9S)-7-[(2R,4S,5S,6S)-4-amino-5-hydroxy-6-methyloxan-2-yl]oxy-6,9,11-trihydroxy-9-(2-hydroxyacetyl)-4-methoxy-8,10-dihydro-7H-tetracene-5,12-dione;hydrochloride",[],False,False,False,False,,,
40469134,chemicalentity_chemicalentity,438492,-2.455209732055664,-0.2358310709639575,REJECT,doxorubicin(1+),"2-[[3-hydroxy-2-methyl-6-[[3,5,12-trihydroxy-3-(2-hydroxyacetyl)-10-methoxy-6,11-dioxo-2,4-dihydro-1H-tetracen-1-yl]oxy]oxan-4-yl]amino]-3-methoxypropanenitrile",[],False,False,False,False,,,
40469134,chemicalentity_biologicalprocess,GO:1900753,-3.5759809017181396,-0.2731139026585172,REJECT,doxorubicin(1+),doxorubicin transport,['BiologicalProcess_ChemicalEntity'],False,True,True,False,BiologicalProcess_ChemicalEntity,,
40469134,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:1900753,-1.5630487203598022,-0.5837182804085688,REJECT,doxorubicin(1+),doxorubicin transport,['BiologicalProcess_ChemicalEntity'],False,True,False,False,BiologicalProcess_ChemicalEntity,6.0,"{'chemicalentity_promotes_biologicalprocess': -2.9151, 'chemicalentity_inhibits_biologicalprocess': -2.7607, 'chemicalentity_notassociatedwith_biologicalprocess': -1.9664, 'chemicalentity_negativelyassociatedwith_biologicalprocess': -1.563, 'chemicalentity_noeffect_biologicalprocess': -3.0454, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -1.8315}"
40469134,chemicalentity_biologicalprocess,GO:1902520,-2.185835361480713,-0.2731139026585172,REJECT,doxorubicin(1+),response to doxorubicin,['BiologicalProcess_ChemicalEntity'],False,True,True,False,BiologicalProcess_ChemicalEntity,,
40469134,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:1902520,-1.041811466217041,-0.5837182804085688,REJECT,doxorubicin(1+),response to doxorubicin,['BiologicalProcess_ChemicalEntity'],False,True,False,False,BiologicalProcess_ChemicalEntity,6.0,"{'chemicalentity_promotes_biologicalprocess': -2.7711, 'chemicalentity_inhibits_biologicalprocess': -2.5639, 'chemicalentity_notassociatedwith_biologicalprocess': -1.2483, 'chemicalentity_negativelyassociatedwith_biologicalprocess': -1.0418, 'chemicalentity_noeffect_biologicalprocess': -3.2425, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -1.4176}"
40469134,chemicalentity_gene,Dxmod,-1.4349918365478516,-0.2065635831437511,REJECT,doxorubicin(1+),doxorubicin nephropathy modifier,[],False,False,False,False,,,
40469134,chemicalentity_protein,P9WQL8,-1.3141502141952515,-0.3294023660562368,REJECT,doxorubicin(1+),Doxorubicin resistance ATP-binding protein DrrA,[],False,False,False,False,,,
