head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
UFL1-AS1,gene_gene,UFL1,-2.6702542304992676,-0.0666042757992766,REJECT,UFL1 antisense RNA 1,UFM1 specific ligase 1,[],False,False,False,False,,,
UFL1-AS1,gene_protein,P0DJI6,-1.015122652053833,-0.0414583455360082,REJECT,UFL1 antisense RNA 1,Foxo1-corepressor,[],False,False,False,False,,,
UFL1-AS1,gene_gene,FOXO1,-3.031062126159668,-0.0666042757992766,REJECT,UFL1 antisense RNA 1,forkhead box O1,[],False,False,False,False,,,
UFL1-AS1,gene_molecularfunction,GO:0051059,-1.3191845417022705,-0.0453618781650044,REJECT,UFL1 antisense RNA 1,NF-kappaB binding,[],False,False,False,False,,,
UFL1-AS1,gene_cellularcomponent,GO:0071159,-1.1223838329315186,-0.045776228848072,REJECT,UFL1 antisense RNA 1,NF-kappaB complex,[],False,False,False,False,,,
UFL1-AS1,gene_cellularcomponent,GO:0033256,-1.2723298072814941,-0.045776228848072,REJECT,UFL1 antisense RNA 1,I-kappaB/NF-kappaB complex,[],False,False,False,False,,,
UFL1-AS1,gene_cellularcomponent,GO:0035525,-1.3700714111328125,-0.045776228848072,REJECT,UFL1 antisense RNA 1,NF-kappaB p50/p65 complex,[],False,False,False,False,,,
UFL1-AS1,gene_gene,NKILA,-1.7119113206863403,-0.0666042757992766,REJECT,UFL1 antisense RNA 1,NF-kappaB interacting lncRNA,[],False,False,False,False,,,
UFL1-AS1,gene_biologicalprocess,GO:0007249,-1.3037829399108887,-0.0259886974800522,REJECT,UFL1 antisense RNA 1,canonical NF-kappaB signal transduction,[],False,False,False,False,,,
UFL1-AS1,gene_positivelyassociatedwith_biologicalprocess,GO:0007249,-0.9066643714904785,-0.1242880531441628,REJECT,UFL1 antisense RNA 1,canonical NF-kappaB signal transduction,[],False,False,False,False,,5.0,"{'gene_positivelyassociatedwith_biologicalprocess': -0.9067, 'gene_promotes_biologicalprocess': -1.5728, 'gene_negativelyassociatedwith_biologicalprocess': -1.0949, 'gene_inhibits_biologicalprocess': -1.1993, 'gene_notassociatedwith_biologicalprocess': -1.0901}"
UFL1-AS1,gene_protein,E5RK50,-1.0919809341430664,-0.0414583455360082,REJECT,UFL1 antisense RNA 1,NF-kappaB repressing factor {ECO:0000313|EMBL:ABM55378.1},[],False,False,False,False,,,
UFL1-AS1,gene_pathway,R-MMU-1169091,-1.0454739332199097,-0.0273653117614562,REJECT,UFL1 antisense RNA 1,Activation of NF-kappaB in B cells,[],False,False,False,False,,,
UFL1-AS1,gene_biologicalprocess,GO:0090398,-1.6750152111053467,-0.0259886974800522,REJECT,UFL1 antisense RNA 1,cellular senescence,[],False,False,False,False,,,
UFL1-AS1,gene_positivelyassociatedwith_biologicalprocess,GO:0090398,-1.549190640449524,-0.1242880531441628,REJECT,UFL1 antisense RNA 1,cellular senescence,[],False,False,False,False,,5.0,"{'gene_positivelyassociatedwith_biologicalprocess': -1.5492, 'gene_promotes_biologicalprocess': -1.7581, 'gene_negativelyassociatedwith_biologicalprocess': -2.0534, 'gene_inhibits_biologicalprocess': -1.9084, 'gene_notassociatedwith_biologicalprocess': -1.7577}"
UFL1-AS1,gene_pathway,hsa04218,-0.7065358757972717,-0.0273653117614562,REJECT,UFL1 antisense RNA 1,Cellular senescence,[],False,False,False,False,,,
UFL1-AS1,gene_pathway,R-HSA-2559583,-1.4414682388305664,-0.0273653117614562,REJECT,UFL1 antisense RNA 1,Cellular Senescence,[],False,False,False,False,,,
UFL1-AS1,gene_tissue,BTO:0000249,-2.34091854095459,-0.0355469436518127,REJECT,UFL1 antisense RNA 1,chondrocyte,[],False,False,False,False,,,
UFL1-AS1,gene_cellularcomponent,GO:0010282,-1.637138843536377,-0.045776228848072,REJECT,UFL1 antisense RNA 1,senescence-associated vacuole,[],False,False,False,False,,,
UFL1-AS1,gene_gene,Fcs1,-0.7114364504814148,-0.0666042757992766,REJECT,UFL1 antisense RNA 1,fibroblast cell senescence 1,[],False,False,False,False,,,
UFL1-AS1,gene_phenotype,osteoarthritis,-1.2703826427459717,-0.0441083388020473,REJECT,UFL1 antisense RNA 1,osteoarthritis,[],False,False,False,False,,,
UFL1-AS1,gene_phenotype,HP:0002758,-2.4857664108276367,-0.0441083388020473,REJECT,UFL1 antisense RNA 1,Osteoarthritis,[],False,False,False,False,,,
UFL1-AS1,gene_phenotype,MP:0003560,-1.100293755531311,-0.0441083388020473,REJECT,UFL1 antisense RNA 1,osteoarthritis,[],False,False,False,False,,,
UFL1-AS1,gene_phenotype,HP:0008843,-1.6830381155014038,-0.0441083388020473,REJECT,UFL1 antisense RNA 1,Hip osteoarthritis,[],False,False,False,False,,,
