head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
PNPO,gene_biologicalprocess,GO:0009408,-0.0009595713927410543,-0.0259886974800522,ACCEPT,pyridoxamine 5'-phosphate oxidase,response to heat,[],False,False,False,False,,,
PNPO,gene_positivelyassociatedwith_biologicalprocess,GO:0009408,-0.04468758404254913,-0.1242880531441628,ACCEPT,pyridoxamine 5'-phosphate oxidase,response to heat,[],False,False,False,False,,5.0,"{'gene_promotes_biologicalprocess': -0.0448, 'gene_positivelyassociatedwith_biologicalprocess': -0.0447, 'gene_notassociatedwith_biologicalprocess': -0.1054, 'gene_negativelyassociatedwith_biologicalprocess': -0.0708, 'gene_inhibits_biologicalprocess': -0.0577}"
PNPO,gene_biologicalprocess,GO:0034605,-0.0018292051972821355,-0.0259886974800522,ACCEPT,pyridoxamine 5'-phosphate oxidase,cellular response to heat,[],False,False,False,False,,,
PNPO,gene_promotes_biologicalprocess,GO:0034605,-0.06190289929509163,-0.0527332796523318,REJECT,pyridoxamine 5'-phosphate oxidase,cellular response to heat,[],False,False,False,False,,5.0,"{'gene_promotes_biologicalprocess': -0.0619, 'gene_positivelyassociatedwith_biologicalprocess': -0.0774, 'gene_notassociatedwith_biologicalprocess': -0.1451, 'gene_negativelyassociatedwith_biologicalprocess': -0.128, 'gene_inhibits_biologicalprocess': -0.0725}"
PNPO,gene_biologicalprocess,GO:0006457,-0.002412003930658102,-0.0259886974800522,ACCEPT,pyridoxamine 5'-phosphate oxidase,protein folding,[],False,False,False,False,,,
PNPO,gene_promotes_biologicalprocess,GO:0006457,-0.05126107111573219,-0.0527332796523318,ACCEPT,pyridoxamine 5'-phosphate oxidase,protein folding,[],False,False,False,False,,5.0,"{'gene_promotes_biologicalprocess': -0.0513, 'gene_positivelyassociatedwith_biologicalprocess': -0.0756, 'gene_notassociatedwith_biologicalprocess': -0.0955, 'gene_negativelyassociatedwith_biologicalprocess': -0.1134, 'gene_inhibits_biologicalprocess': -0.0556}"
PNPO,gene_biologicalprocess,GO:0006458,-0.007089424412697554,-0.0259886974800522,ACCEPT,pyridoxamine 5'-phosphate oxidase,'de novo' protein folding,[],False,False,False,False,,,
PNPO,gene_promotes_biologicalprocess,GO:0006458,-0.11333649605512619,-0.0527332796523318,REJECT,pyridoxamine 5'-phosphate oxidase,'de novo' protein folding,[],False,False,False,False,,5.0,"{'gene_promotes_biologicalprocess': -0.1133, 'gene_positivelyassociatedwith_biologicalprocess': -0.1431, 'gene_notassociatedwith_biologicalprocess': -0.13, 'gene_negativelyassociatedwith_biologicalprocess': -0.1677, 'gene_inhibits_biologicalprocess': -0.1446}"
PNPO,gene_biologicalprocess,GO:1903332,-0.04574853554368019,-0.0259886974800522,REJECT,pyridoxamine 5'-phosphate oxidase,regulation of protein folding,[],False,False,False,False,,,
PNPO,gene_inhibits_biologicalprocess,GO:1903332,-0.40275901556015015,-0.0860653631820946,REJECT,pyridoxamine 5'-phosphate oxidase,regulation of protein folding,[],False,False,False,False,,5.0,"{'gene_promotes_biologicalprocess': -0.4029, 'gene_positivelyassociatedwith_biologicalprocess': -0.4131, 'gene_notassociatedwith_biologicalprocess': -0.4439, 'gene_negativelyassociatedwith_biologicalprocess': -0.4334, 'gene_inhibits_biologicalprocess': -0.4028}"
PNPO,gene_biologicalprocess,GO:0061077,-0.0034214076586067677,-0.0259886974800522,ACCEPT,pyridoxamine 5'-phosphate oxidase,chaperone-mediated protein folding,[],False,False,False,False,,,
PNPO,gene_promotes_biologicalprocess,GO:0061077,-0.15592482686042786,-0.0527332796523318,REJECT,pyridoxamine 5'-phosphate oxidase,chaperone-mediated protein folding,[],False,False,False,False,,5.0,"{'gene_promotes_biologicalprocess': -0.1559, 'gene_positivelyassociatedwith_biologicalprocess': -0.1958, 'gene_notassociatedwith_biologicalprocess': -0.231, 'gene_negativelyassociatedwith_biologicalprocess': -0.2394, 'gene_inhibits_biologicalprocess': -0.1567}"
PNPO,gene_biologicalprocess,GO:1903333,-0.020284010097384453,-0.0259886974800522,ACCEPT,pyridoxamine 5'-phosphate oxidase,negative regulation of protein folding,[],False,False,False,False,,,
PNPO,gene_inhibits_biologicalprocess,GO:1903333,-0.2877542972564697,-0.0860653631820946,REJECT,pyridoxamine 5'-phosphate oxidase,negative regulation of protein folding,[],False,False,False,False,,5.0,"{'gene_promotes_biologicalprocess': -0.3212, 'gene_positivelyassociatedwith_biologicalprocess': -0.3137, 'gene_notassociatedwith_biologicalprocess': -0.3093, 'gene_negativelyassociatedwith_biologicalprocess': -0.3308, 'gene_inhibits_biologicalprocess': -0.2878}"
PNPO,gene_biologicalprocess,GO:0006914,-0.003032634500414133,-0.0259886974800522,ACCEPT,pyridoxamine 5'-phosphate oxidase,autophagy,['Gene_BiologicalProcess'],False,True,True,False,Gene_BiologicalProcess,,
